type	league	clubIndex	club	playerIndex	player	position	age	overall	nationality	speed	resistance	quality	morale	style	formation	value	wage	uid	provenance
T	eu_austria	0	Austria Wien	-1		-1	2010	0	Austria	0	0	0	55	55	2	0	0	eu_austria:0	REGISTRY
P	eu_austria	0	Austria Wien	0	Roland Linz	3	28	74	Unknown	75	71	77	55	0	0	5184000	280000	eu:rolandlinz	SEASON_APPS_FIFA11
P	eu_austria	0	Austria Wien	1	Milenko Ačimovič	2	33	73	Unknown	72	76	75	55	0	0	4761000	260000	eu:milenkoacimovic	SEASON_APPS_FIFA11
P	eu_austria	0	Austria Wien	2	Aleksandar Dragović	1	19	71	Unknown	71	74	68	55	0	0	3969000	220000	eu:aleksandardragovic	SEASON_APPS_FIFA11
P	eu_austria	0	Austria Wien	3	Zlatko Junuzović	2	22	71	Unknown	68	72	72	55	0	0	3969000	220000	eu:zlatkojunuzovic	SEASON_APPS_FIFA11
P	eu_austria	0	Austria Wien	4	Peter Hlinka	2	31	68	Unknown	72	69	70	55	0	0	2916000	160000	eu:peterhlinka	SEASON_APPS_FIFA11
P	eu_austria	0	Austria Wien	5	Julian Baumgartlinger	2	22	66	Unknown	65	70	66	55	0	0	2304000	120000	eu:julianbaumgartlinger	SEASON_APPS_FIFA11
P	eu_austria	0	Austria Wien	6	Georg Margreitter	1	21	65	Unknown	64	68	68	55	0	0	2025000	110000	eu:georgmargreitter	SEASON_APPS_FIFA11
P	eu_austria	0	Austria Wien	7	Petr Voříšek	2	31	65	Unknown	63	68	70	55	0	0	2025000	110000	eu:petrvorisek	SEASON_APPS_FIFA11
P	eu_austria	0	Austria Wien	8	Fernando Troyansky	1	32	60	Unknown	60	65	58	55	0	0	900000	50000	eu:fernandotroyansky	SEASON_APPS_FIFA11
P	eu_austria	0	Austria Wien	9	Szabolcs Sáfár	0	35	63	Unknown	45	65	65	55	0	0	1521000	80000	eu:szabolcssafar	SEASON_APPS_EST_RATING
P	eu_austria	0	Austria Wien	10	Heinz Lindner	0	20	68	Unknown	48	69	70	55	0	0	2916000	160000	eu:heinzlindner	SEASON_APPS_EST_RATING
P	eu_austria	0	Austria Wien	11	Manuel Ortlechner	1	30	70	Unknown	65	75	69	55	0	0	3600000	200000	eu:manuelortlechner	SEASON_APPS_EST_RATING
P	eu_austria	0	Austria Wien	12	Markus Suttner	1	23	70	Unknown	66	75	71	55	0	0	3600000	200000	eu:markussuttner	SEASON_APPS_EST_RATING
P	eu_austria	0	Austria Wien	13	Florian Klein	2	23	72	Unknown	74	70	77	55	0	0	4356000	240000	eu:florianklein	SEASON_APPS_EST_RATING
P	eu_austria	0	Austria Wien	14	Tomáš Jun	3	27	70	Unknown	68	69	73	55	0	0	3600000	200000	eu:tomasjun	SEASON_APPS_EST_RATING
P	eu_austria	0	Austria Wien	15	Nacer Barazite	2	20	65	Unknown	65	69	69	55	0	0	2025000	110000	eu:nacerbarazite	SEASON_APPS_EST_RATING
P	eu_austria	0	Austria Wien	16	Michael Liendl	2	24	70	Unknown	74	71	70	55	0	0	3600000	200000	eu:michaelliendl:25101985	SEASON_ARCHIVE_EST_RATING
P	eu_austria	0	Austria Wien	17	Marko Stanković	2	24	70	Unknown	73	69	69	55	0	0	3600000	200000	eu:markostankovic:17021986	SEASON_ARCHIVE_EST_RATING
P	eu_austria	0	Austria Wien	18	Marin Leovac	1	21	66	Unknown	62	68	64	55	0	0	2304000	120000	eu:marinleovac:07081988	SEASON_ARCHIVE_EST_RATING
T	eu_austria	1	Rapid Wien	-1		-1	2010	0	Austria	0	0	0	55	55	2	0	0	eu_austria:1	REGISTRY
P	eu_austria	1	Rapid Wien	0	Steffen Hofmann	2	29	76	Unknown	78	78	79	55	0	0	6084000	330000	eu:steffenhofmann	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	1	Hamdi Salihi	3	26	74	Unknown	80	76	76	55	0	0	5184000	280000	eu:hamdisalihi	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	2	Jan Vennegoor of Hesselink	3	31	64	Unknown	65	66	62	55	0	0	1764000	90000	eu:janvennegoorofhesselink	SEASON_APPS_EST_RATING
P	eu_austria	1	Rapid Wien	3	Markus Heikkinen	2	31	71	Unknown	71	75	74	55	0	0	3969000	220000	eu:markusheikkinen	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	4	Veli Kavlak	2	21	71	Unknown	75	70	75	55	0	0	3969000	220000	eu:velikavlak	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	5	Ragnvald Soma	1	30	70	Unknown	66	75	72	55	0	0	3600000	200000	eu:ragnvaldsoma	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	6	Christoph Saurer	2	24	67	Unknown	68	71	68	55	0	0	2601000	140000	eu:christophsaurer	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	7	Christopher Drazan	2	19	67	Unknown	68	66	68	55	0	0	2601000	140000	eu:christopherdrazan	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	8	Mario Sonnleitner	1	23	67	Unknown	64	70	64	55	0	0	2601000	140000	eu:mariosonnleitner	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	9	Yaşin Pehlivan	2	21	67	Unknown	67	68	72	55	0	0	2601000	140000	eu:yasinpehlivan	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	10	Christopher Trimmel	3	23	65	Unknown	66	66	65	55	0	0	2025000	110000	eu:christophertrimmel	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	11	Atdhe Nuhiu	3	21	64	Unknown	62	64	67	55	0	0	1764000	90000	eu:atdhenuhiu	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	12	Markus Katzer	1	30	64	Unknown	64	65	62	55	0	0	1764000	90000	eu:markuskatzer	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	13	Thomas Hinum	2	23	64	Unknown	60	62	68	55	0	0	1764000	90000	eu:thomashinum	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	14	Jürgen Patocka	1	33	63	Unknown	64	67	64	55	0	0	1521000	80000	eu:jurgenpatocka	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	15	Tanju Kayhan	1	21	63	Unknown	58	67	65	55	0	0	1521000	80000	eu:tanjukayhan	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	16	Andreas Dober	1	24	62	Unknown	58	63	61	55	0	0	1296000	70000	eu:andreasdober	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	17	René Gartler	3	24	62	Unknown	65	60	64	55	0	0	1296000	70000	eu:renegartler	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	18	Hannes Eder	1	26	61	Unknown	57	61	62	55	0	0	1089000	60000	eu:hanneseder	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	19	Stefan Kulovits	2	27	60	Unknown	57	63	63	55	0	0	900000	50000	eu:stefankulovits	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	20	Raimund Hedl	0	35	70	Unknown	56	71	74	55	0	0	3600000	200000	eu:raimundhedl:31081974	SEASON_ARCHIVE_EST_RATING
P	eu_austria	1	Rapid Wien	21	Helge Payer	0	30	67	Unknown	47	68	70	55	0	0	2601000	140000	eu:helgepayer:09081979	SEASON_ARCHIVE_EST_RATING
T	eu_austria	2	Red Bull Salzburg	-1		-1	2010	0	Austria	0	0	0	55	55	2	0	0	eu_austria:2	REGISTRY
P	eu_austria	2	Red Bull Salzburg	0	Christoph Leitgeb	2	25	73	Unknown	75	76	78	55	0	0	4761000	260000	eu:christophleitgeb	SEASON_APPS_FIFA11
P	eu_austria	2	Red Bull Salzburg	1	Ibrahim Sekagya	1	29	73	Unknown	70	73	75	55	0	0	4761000	260000	eu:ibrahimsekagya	SEASON_APPS_FIFA11
P	eu_austria	2	Red Bull Salzburg	2	Rabiu Afolabi	1	30	73	Unknown	67	73	76	55	0	0	4761000	260000	eu:rabiuafolabi	SEASON_APPS_FIFA11
P	eu_austria	2	Red Bull Salzburg	3	David Mendes da Silva	2	27	72	Unknown	69	75	75	55	0	0	4356000	240000	eu:davidmendesdasilva	SEASON_APPS_FIFA11
P	eu_austria	2	Red Bull Salzburg	4	Jakob Jantscher	3	21	72	Unknown	76	71	70	55	0	0	4356000	240000	eu:jakobjantscher	SEASON_APPS_FIFA11
P	eu_austria	2	Red Bull Salzburg	5	Dušan Švento	2	25	71	Unknown	68	72	73	55	0	0	3969000	220000	eu:dusansvento	SEASON_APPS_FIFA11
P	eu_austria	2	Red Bull Salzburg	6	Gonzalo Zárate	3	25	70	Unknown	73	71	72	55	0	0	3600000	200000	eu:gonzalozarate	SEASON_APPS_FIFA11
P	eu_austria	2	Red Bull Salzburg	7	Johan Vonlanthen	3	24	69	Unknown	71	69	67	55	0	0	3249000	180000	eu:johanvonlanthen	SEASON_APPS_FIFA11
P	eu_austria	2	Red Bull Salzburg	8	Nikola Pokrivač	2	24	68	Unknown	68	67	71	55	0	0	2916000	160000	eu:nikolapokrivac	SEASON_APPS_FIFA11
P	eu_austria	2	Red Bull Salzburg	9	Simon Cziommer	2	29	68	Unknown	64	72	70	55	0	0	2916000	160000	eu:simoncziommer	SEASON_APPS_FIFA11
P	eu_austria	2	Red Bull Salzburg	10	Franz Schiemer	1	24	67	Unknown	62	68	67	55	0	0	2601000	140000	eu:franzschiemer	SEASON_APPS_FIFA11
P	eu_austria	2	Red Bull Salzburg	11	Roman Wallner	3	28	67	Unknown	67	68	68	55	0	0	2601000	140000	eu:romanwallner	SEASON_APPS_FIFA11
P	eu_austria	2	Red Bull Salzburg	12	Andreas Ulmer	1	24	65	Unknown	61	64	65	55	0	0	2025000	110000	eu:andreasulmer	SEASON_APPS_FIFA11
P	eu_austria	2	Red Bull Salzburg	13	Christian Schwegler	1	26	65	Unknown	59	66	65	55	0	0	2025000	110000	eu:christianschwegler	SEASON_APPS_FIFA11
P	eu_austria	2	Red Bull Salzburg	14	Louis Clément Ngwat-Mahop	3	22	65	Unknown	68	63	64	55	0	0	2025000	110000	eu:louisclementngwatmahop	SEASON_APPS_EST_RATING
P	eu_austria	2	Red Bull Salzburg	15	Milan Dudić	1	30	65	Unknown	63	69	64	55	0	0	2025000	110000	eu:milandudic	SEASON_APPS_FIFA11
P	eu_austria	2	Red Bull Salzburg	16	Thomas Augustinussen	2	29	65	Unknown	67	64	64	55	0	0	2025000	110000	eu:thomasaugustinussen	SEASON_APPS_FIFA11
P	eu_austria	2	Red Bull Salzburg	17	Robin Nelisse	3	32	64	Unknown	66	64	65	55	0	0	1764000	90000	eu:robinnelisse	SEASON_APPS_FIFA11
P	eu_austria	2	Red Bull Salzburg	18	Stefan Hierländer	1	19	60	Unknown	58	63	62	55	0	0	900000	50000	eu:stefanhierlander	SEASON_APPS_FIFA11
P	eu_austria	2	Red Bull Salzburg	19	Gerhard Tremmel	0	31	73	Unknown	57	71	78	55	0	0	4761000	260000	eu:gerhardtremmel:16111978	SEASON_ARCHIVE_EST_RATING
P	eu_austria	2	Red Bull Salzburg	20	Eddie Gustafsson	0	33	66	Unknown	48	63	69	55	0	0	2304000	120000	eu:eddiegustafsson:31011977	SEASON_ARCHIVE_EST_RATING
P	eu_austria	2	Red Bull Salzburg	21	Martin Hinteregger	1	17	68	Unknown	68	69	66	55	0	0	2916000	160000	eu:martinhinteregger:07091992	SEASON_ARCHIVE_EST_RATING
P	eu_austria	2	Red Bull Salzburg	22	Joaquín Boghossian	3	23	70	Unknown	70	69	73	55	0	0	3600000	200000	eu:joaquinboghossian:19061987	SEASON_ARCHIVE_EST_RATING
T	eu_austria	3	Sturm Graz	-1		-1	2010	0	Austria	0	0	0	55	55	2	0	0	eu_austria:3	REGISTRY
P	eu_austria	3	Sturm Graz	0	Andreas Hölzl	2	25	69	Unknown	66	69	70	55	0	0	3249000	180000	eu:andreasholzl	SEASON_APPS_FIFA11
P	eu_austria	3	Sturm Graz	1	Imre Szabics	3	29	69	Unknown	68	66	73	55	0	0	3249000	180000	eu:imreszabics	SEASON_APPS_FIFA11
P	eu_austria	3	Sturm Graz	2	Samir Muratović	2	34	67	Unknown	69	67	70	55	0	0	2601000	140000	eu:samirmuratovic	SEASON_APPS_FIFA11
P	eu_austria	3	Sturm Graz	3	Mario Kienzl	2	26	66	Unknown	68	66	65	55	0	0	2304000	120000	eu:mariokienzl	SEASON_APPS_FIFA11
P	eu_austria	3	Sturm Graz	4	Joachim Standfest	2	30	65	Unknown	64	66	67	55	0	0	2025000	110000	eu:joachimstandfest	SEASON_APPS_FIFA11
P	eu_austria	3	Sturm Graz	5	Manuel Weber	2	24	65	Unknown	66	63	66	55	0	0	2025000	110000	eu:manuelweber	SEASON_APPS_FIFA11
P	eu_austria	3	Sturm Graz	6	Klaus Salmutter	2	26	64	Unknown	61	62	63	55	0	0	1764000	90000	eu:klaussalmutter	SEASON_APPS_FIFA11
P	eu_austria	3	Sturm Graz	7	Mario Haas	3	35	64	Unknown	63	64	64	55	0	0	1764000	90000	eu:mariohaas	SEASON_APPS_FIFA11
P	eu_austria	3	Sturm Graz	8	Timo Perthel	2	21	63	Unknown	62	65	62	55	0	0	1521000	80000	eu:timoperthel	SEASON_APPS_FIFA11
P	eu_austria	3	Sturm Graz	9	Thomas Burgstaller	1	30	62	Unknown	64	63	64	55	0	0	1296000	70000	eu:thomasburgstaller	SEASON_APPS_FIFA11
P	eu_austria	3	Sturm Graz	10	Christian Gratzei	0	28	71	Unknown	54	73	72	55	0	0	3969000	220000	eu:christiangratzei	SEASON_APPS_EST_RATING
P	eu_austria	3	Sturm Graz	11	Gordon Schildenfeld	1	25	72	Unknown	72	73	70	55	0	0	4356000	240000	eu:gordonschildenfeld	SEASON_APPS_EST_RATING
P	eu_austria	3	Sturm Graz	12	Ferdinand Feldhofer	1	30	68	Unknown	62	68	65	55	0	0	2916000	160000	eu:ferdinandfeldhofer	SEASON_APPS_EST_RATING
P	eu_austria	3	Sturm Graz	13	Mario Klem	2	31	66	Unknown	64	70	67	55	0	0	2304000	120000	eu:marioklem	UNVERIFIED_ESTIMATED
P	eu_austria	3	Sturm Graz	14	Haris Bukva	2	22	65	Unknown	64	68	70	55	0	0	2025000	110000	eu:harisbukva	SEASON_APPS_EST_RATING
P	eu_austria	3	Sturm Graz	15	Roman Kienast	3	26	71	Unknown	70	72	69	55	0	0	3969000	220000	eu:romankienast	SEASON_APPS_EST_RATING
P	eu_austria	3	Sturm Graz	16	Patrick Wolf	2	29	64	Unknown	68	65	66	55	0	0	1764000	90000	eu:patrickwolf	SEASON_APPS_EST_RATING
P	eu_austria	3	Sturm Graz	17	Dominic Pürcher	1	22	67	Unknown	64	71	66	55	0	0	2601000	140000	eu:dominicpurcher:24061988	SEASON_ARCHIVE_EST_RATING
P	eu_austria	3	Sturm Graz	18	Martin Ehrenreich	1	27	67	Unknown	62	66	68	55	0	0	2601000	140000	eu:martinehrenreich:10051983	SEASON_ARCHIVE_EST_RATING
T	eu_azerbaijan	0	Neftçi PFK	-1		-1	2010	0	Azerbaijan	0	0	0	55	55	2	0	0	eu_azerbaijan:0	REGISTRY
P	eu_azerbaijan	0	Neftçi PFK	0	Rauf Mehdiyev	0	33	62	Unknown	46	60	66	55	0	0	1296000	70000	eu:raufmehdiyev	SEASON_APPS_EST_RATING
P	eu_azerbaijan	0	Neftçi PFK	1	Paulius Grybauskas	0	26	61	Unknown	41	58	64	55	0	0	1089000	60000	eu:pauliusgrybauskas	SEASON_APPS_EST_RATING
P	eu_azerbaijan	0	Neftçi PFK	2	Emil Balayev	0	16	55	Unknown	37	58	57	55	0	0	250000	50000	eu:emilbalayev	SEASON_APPS_EST_RATING
P	eu_azerbaijan	0	Neftçi PFK	3	Ruslan Abishov	1	22	62	Unknown	57	61	59	55	0	0	1296000	70000	eu:ruslanabishov	SEASON_APPS_EST_RATING
P	eu_azerbaijan	0	Neftçi PFK	4	Igor Mitreski	1	31	56	Unknown	56	57	55	55	0	0	324000	50000	eu:igormitreski	SEASON_APPS_EST_RATING
P	eu_azerbaijan	0	Neftçi PFK	5	Mahir Shukurov	1	24	58	Unknown	52	58	55	55	0	0	576000	50000	eu:mahirshukurov	UNVERIFIED_ESTIMATED
P	eu_azerbaijan	0	Neftçi PFK	6	Rail Melikov	1	24	62	Unknown	64	61	63	55	0	0	1296000	70000	eu:railmelikov	SEASON_APPS_EST_RATING
P	eu_azerbaijan	0	Neftçi PFK	7	Slavčo Georgievski	2	30	64	Unknown	60	64	66	55	0	0	1764000	90000	eu:slavcogeorgievski	SEASON_APPS_EST_RATING
P	eu_azerbaijan	0	Neftçi PFK	8	Flavinho	2	20	59	Unknown	59	61	58	55	0	0	729000	50000	eu:flavinho	UNVERIFIED_ESTIMATED
P	eu_azerbaijan	0	Neftçi PFK	9	Rashad Abdullayev	2	28	63	Unknown	63	66	67	55	0	0	1521000	80000	eu:rashadabdullayev	SEASON_APPS_EST_RATING
P	eu_azerbaijan	0	Neftçi PFK	10	Rodriguinho	2	31	58	Unknown	57	58	62	55	0	0	576000	50000	eu:rodriguinho	UNVERIFIED_ESTIMATED
P	eu_azerbaijan	0	Neftçi PFK	11	Elmar Bakhshiyev	2	27	62	Unknown	60	66	61	55	0	0	1296000	70000	eu:elmarbakhshiyev	UNVERIFIED_ESTIMATED
P	eu_azerbaijan	0	Neftçi PFK	12	Amit Guluzade	2	17	55	Unknown	51	58	60	55	0	0	250000	50000	eu:amitguluzade	SEASON_APPS_EST_RATING
