type	league	clubIndex	club	playerIndex	player	position	age	overall	nationality	speed	resistance	quality	morale	style	formation	value	wage	uid	provenance
T	eu_austria	0	Austria Wien	-1		-1	2010	0	Austria	0	0	0	55	55	2	0	0	eu_austria:0	REGISTRY
P	eu_austria	0	Austria Wien	0	Roland Linz	3	24	74	Unknown	72	84	63	55	0	0	5184000	280000	eu:rolandlinz	FIFA11_RATING_EST_AGE_ECONOMY
P	eu_austria	0	Austria Wien	1	Milenko Ačimovič	2	27	73	Unknown	74	53	72	55	0	0	4761000	260000	eu:milenkoacimovic	FIFA11_RATING_EST_AGE_ECONOMY
P	eu_austria	0	Austria Wien	2	Aleksandar Dragović	1	31	71	Unknown	83	42	67	55	0	0	3969000	220000	eu:aleksandardragovic	FIFA11_RATING_EST_AGE_ECONOMY
P	eu_austria	0	Austria Wien	3	Zlatko Junuzović	2	22	71	Unknown	75	70	67	55	0	0	3969000	220000	eu:zlatkojunuzovic	FIFA11_RATING_EST_AGE_ECONOMY
P	eu_austria	0	Austria Wien	4	Peter Hlinka	2	29	68	Unknown	72	74	63	55	0	0	2916000	160000	eu:peterhlinka	FIFA11_RATING_EST_AGE_ECONOMY
P	eu_austria	0	Austria Wien	5	Julian Baumgartlinger	2	23	66	Unknown	65	59	64	55	0	0	2304000	120000	eu:julianbaumgartlinger	FIFA11_RATING_EST_AGE_ECONOMY
P	eu_austria	0	Austria Wien	6	Georg Margreitter	1	24	65	Unknown	61	72	59	55	0	0	2025000	110000	eu:georgmargreitter	FIFA11_RATING_EST_AGE_ECONOMY
P	eu_austria	0	Austria Wien	7	Petr Voříšek	2	30	65	Unknown	79	50	61	55	0	0	2025000	110000	eu:petrvorisek	FIFA11_RATING_EST_AGE_ECONOMY
P	eu_austria	0	Austria Wien	8	Fernando Troyansky	1	22	60	Unknown	84	50	57	55	0	0	900000	50000	eu:fernandotroyansky	FIFA11_RATING_EST_AGE_ECONOMY
